...1,project_reference,academic_year,mobility_start_month,mobility_end_month,mobility_duration,activity_mob,participant_nationality,participant_gender,participant_profile,special_needs,fewer_opportunities,group_leader,participant_age,sending_country_code,sending_city,sending_organization,receiving_country_code,receiving_city,receiving_organization
1,2014-1-AT02-KA347-000139,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,Yes,No,13,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
2,2014-1-AT02-KA347-000139,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,Yes,No,14,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
3,2014-1-AT02-KA347-000139,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Female,Learner,No,Yes,No,15,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
4,2014-1-AT02-KA347-000139,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,Yes,No,14,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
5,2014-1-AT02-KA347-000139,2014-2015,2014-11,2014-11,1,National youth meetings,AT,Male,Learner,No,Yes,No,15,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Dornbirn,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
6,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,15,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
7,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,16,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
8,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,17,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
9,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,18,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
10,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,19,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
11,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,Yes,No,No,18,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Wien,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
12,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Undefined,Learner,No,No,No,12,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
13,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Undefined,Learner,No,No,No,14,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
14,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Undefined,Learner,No,No,No,15,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
15,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Undefined,Learner,No,No,No,16,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
16,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Undefined,Learner,No,No,No,17,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
17,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Undefined,Learner,No,No,No,18,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,Ansfelden,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
18,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Female,Learner,No,No,No,15,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
19,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Female,Learner,No,No,No,19,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
20,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Female,Learner,No,No,No,23,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
21,2014-1-AT02-KA347-000139,2014-2015,2014-12,2014-12,2,National youth meetings,AT,Female,Learner,No,No,No,25,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit,AT,St.P�lten,bOJA - Bundesweites Netzwerk Offene Jugendarbeit
